NAME                    VERSION           TYPE                        
MediaInfo               21.03.0.0         binary      (+1 duplicate)   
MediaInfo               24.12.0.0         binary                       
Medusa                  UNKNOWN           npm                          
Medusa-bower            UNKNOWN           npm                          
Simple Launcher         1.1.0.14          binary      (+5 duplicates)  
WinRAR                  5.91.0            binary                       
acl-libs                2.3.2-r1          apk                          
adba                    1.1.0             python                       
aligned                 0.4.2             rust-crate                   
aligned-vec             0.6.4             rust-crate                   
alpine-baselayout       3.7.2-r0          apk                          
alpine-baselayout-data  3.7.2-r0          apk                          
alpine-keys             2.6-r0            apk                          
alpine-release          3.23.5-r0         apk                          
alsa-lib                1.2.14-r2         apk                          
anstream                0.6.19            rust-crate                   
anstyle                 1.0.11            rust-crate                   
anstyle-parse           0.2.7             rust-crate                   
anstyle-query           1.1.3             rust-crate                   
anyhow                  1.0.98            rust-crate  (+1 duplicate)   
aom-libs                3.14.1-r0         apk                          
apk-tools               3.0.7-r0          apk                          
appdirs                 1.4.4             python                       
arg_enum_proc_macro     0.3.4             rust-crate                   
arrayvec                0.7.6             rust-crate                   
as-slice                0.2.1             rust-crate                   
attrs                   25.4.0            python                       
autocommand             2.2.2             python                       
av-metrics              0.9.1             rust-crate                   
av-scenechange          0.14.1            rust-crate                   
av1-grain               0.2.4             rust-crate                   
babelfish               0.6.1             python                       
backports-tarfile       1.2.0             python                       
bash                    5.3.3-r1          apk                          
beautifulsoup4          4.14.2            python                       
bencode-py              4.0.0             python                       
bitflags                2.9.1             rust-crate                   
bitstream-io            2.6.0             rust-crate                   
bitstream-io            4.2.0             rust-crate                   
bitvec                  1.0.1             rust-crate                   
bitvec_helpers          3.1.6             rust-crate                   
brotli-libs             1.2.0-r0          apk                          
busybox                 1.37.0-r30        apk                          
busybox-binsh           1.37.0-r30        apk                          
c-ares                  1.34.8-r0         apk                          
ca-certificates         20260611-r0       apk                          
ca-certificates-bundle  20260611-r0       apk                          
cachecontrol            0.14.3            python                       
catatonit               0.2.1-r0          apk                          
certifi                 2025.10.5         python                       
cfg-if                  1.0.1             rust-crate                   
chardet                 7.6.0             python                       
charset-normalizer      3.5.1             python                       
cjson                   1.7.19-r1         apk                          
clap                    4.5.40            rust-crate                   
clap_builder            4.5.40            rust-crate                   
clap_complete           4.5.54            rust-crate                   
clap_lex                0.7.5             rust-crate                   
cli                     UNKNOWN           binary                       
cli-32                  UNKNOWN           binary                       
cli-64                  UNKNOWN           binary                       
cli-arm64               UNKNOWN           binary                       
click                   8.4.2             python                       
click-option-group      0.5.9             python                       
cloudscraper            1.2.71            python                       
colorchoice             1.0.4             rust-crate                   
configobj               5.0.9             python                       
console                 0.15.11           rust-crate                   
contextlib2             21.6.0            python                       
core2                   0.4.0             rust-crate                   
coreutils               9.8-r1            apk                          
coreutils-env           9.8-r1            apk                          
coreutils-fmt           9.8-r1            apk                          
coreutils-sha512sum     9.8-r1            apk                          
crc                     3.3.0             rust-crate                   
crc-catalog             2.4.0             rust-crate                   
crossbeam               0.8.4             rust-crate                   
crossbeam-channel       0.5.15            rust-crate                   
crossbeam-deque         0.8.6             rust-crate                   
crossbeam-epoch         0.9.18            rust-crate                   
crossbeam-queue         0.3.12            rust-crate                   
crossbeam-utils         0.8.21            rust-crate                   
curl                    8.20.0-r0         apk                          
dark                    0.1.0             npm                          
dbus-libs               1.16.2-r1         apk                          
decorator               5.3.1             python                       
deluge-client           1.10.2            python                       
deprecated              1.2.18            python                       
diskcache               5.6.3             python                       
dogpile-cache           1.3.4             python                       
dolby_vision            3.3.2             rust-crate                   
either                  1.15.0            rust-crate                   
enzyme                  0.5.2             python                       
equator                 0.4.2             rust-crate                   
errno                   0.3.12            rust-crate                   
feedparser              6.0.12            python                       
fern                    0.7.1             rust-crate                   
ffmpeg                  8.0.1-r1          apk                          
ffmpeg-libavcodec       8.0.1-r1          apk                          
ffmpeg-libavdevice      8.0.1-r1          apk                          
ffmpeg-libavfilter      8.0.1-r1          apk                          
ffmpeg-libavformat      8.0.1-r1          apk                          
ffmpeg-libavutil        8.0.1-r1          apk                          
ffmpeg-libswresample    8.0.1-r1          apk                          
ffmpeg-libswscale       8.0.1-r1          apk                          
findutils               4.10.0-r0         apk                          
fontconfig              2.17.1-r0         apk                          
freetype                2.14.3-r0         apk                          
fribidi                 1.0.16-r2         apk                          
funty                   2.0.0             rust-crate                   
future                  1.0.0             python                       
gdbm                    1.26-r0           apk                          
getrandom               0.3.3             rust-crate                   
glib                    2.86.3-r0         apk                          
glslang-libs            1.4.321.0-r0      apk                          
gntp                    1.0.3             python                       
graphite2               1.3.14-r6         apk                          
guessit                 3.8.0             python                       
gui                     UNKNOWN           binary                       
gui-32                  UNKNOWN           binary                       
gui-64                  UNKNOWN           binary                       
gui-arm64               UNKNOWN           binary                       
harfbuzz                12.2.0-r0         apk                          
html5lib                1.1               python                       
hwdata-pci              0.401-r0          apk                          
idna                    3.19              python                       
importlib-metadata      8.7.1             python                       
interpolate_name        0.2.4             rust-crate                   
is_terminal_polyfill    1.70.1            rust-crate                   
itertools               0.10.5            rust-crate                   
itertools               0.14.0            rust-crate                   
ivf                     0.1.4             rust-crate                   
jaraco-context          6.1.0             python                       
jaraco-functools        4.4.0             python                       
jaraco-text             4.0.0             python                       
jq                      1.8.1-r0          apk                          
json-c                  0.18-r1           apk                          
jsonrpclib-pelix        0.4.3.4           python                       
lab                     0.11.0            rust-crate                   
lame-libs               3.100-r5          apk                          
lcms2                   2.19-r0           apk                          
libSvtAv1Enc            3.1.2-r0          apk                          
libapk                  3.0.7-r0          apk                          
libass                  0.17.4-r0         apk                          
libasyncns              0.8-r4            apk                          
libattr                 2.5.2-r2          apk                          
libblkid                2.41.4-r0         apk                          
libbluray               1.4.0-r0          apk                          
libbsd                  0.12.2-r0         apk                          
libbz2                  1.0.8-r6          apk                          
libc                    0.2.172           rust-crate  (+1 duplicate)   
libcrypto3              3.5.7-r0          apk                          
libcurl                 8.20.0-r0         apk                          
libdav1d                1.5.2-r0          apk                          
libdovi                 3.3.2-r0          apk                          
libdrm                  2.4.131-r0        apk                          
libeconf                0.8.3-r0          apk                          
libexpat                2.8.3-r0          apk                          
libffi                  3.5.2-r0          apk                          
libflac                 1.4.3-r2          apk                          
libgcc                  15.2.0-r2         apk                          
libgomp                 15.2.0-r2         apk                          
libhwy                  1.3.0-r0          apk                          
libidn2                 2.3.8-r0          apk                          
libintl                 0.24.1-r1         apk                          
libjpeg-turbo           3.1.2-r0          apk                          
libjxl                  0.11.2-r0         apk                          
libltdl                 2.5.4-r2          apk                          
libmd                   1.1.0-r0          apk                          
libmediainfo            25.09-r0          apk                          
libmount                2.41.4-r0         apk                          
libncursesw             6.5_p20251123-r0  apk                          
libogg                  1.3.6-r0          apk                          
libopenmpt              0.8.6-r0          apk                          
libpanelw               6.5_p20251123-r0  apk                          
libpciaccess            0.18.1-r1         apk                          
libplacebo              7.351.0-r0        apk                          
libpng                  1.6.58-r1         apk                          
libproc2                4.0.5-r0          apk                          
libpsl                  0.21.5-r3         apk                          
libpulse                17.0-r5           apk                          
librist                 0.2.10-r1         apk                          
libsharpyuv             1.6.0-r0          apk                          
libsndfile              1.2.2-r2          apk                          
libsodium               1.0.20-r1         apk                          
libsrt                  1.5.3-r1          apk                          
libssh                  0.11.4-r0         apk                          
libssl3                 3.5.7-r0          apk                          
libstdc++               15.2.0-r2         apk                          
libtheora               1.2.0-r0          apk                          
libudfread              1.2.0-r0          apk                          
libunibreak             6.1-r0            apk                          
libunistring            1.4.1-r0          apk                          
libva                   2.22.0-r1         apk                          
libvdpau                1.5-r4            apk                          
libvorbis               1.3.7-r2          apk                          
libvpl                  2.15.0-r1         apk                          
libvpx                  1.15.2-r1         apk                          
libwebp                 1.6.0-r0          apk                          
libwebpmux              1.6.0-r0          apk                          
libx11                  1.8.12-r1         apk                          
libxau                  1.0.12-r0         apk                          
libxcb                  1.17.0-r1         apk                          
libxdmcp                1.1.5-r1          apk                          
libxext                 1.3.6-r2          apk                          
libxfixes               6.0.2-r0          apk                          
libxml2                 2.13.9-r1         apk                          
libzen                  0.4.41-r0         apk                          
libzmq                  4.3.5-r2          apk                          
light                   0.1.0             npm                          
lilv-libs               0.24.26-r0        apk                          
linux-pam               1.7.1-r2          apk                          
linux-raw-sys           0.9.4             rust-crate                   
log                     0.4.27            rust-crate                   
mako                    1.3.12            python                       
markdown2               2.5.4             python                       
markupsafe              3.0.3             python                       
maybe-rayon             0.1.1             rust-crate                   
mbedtls                 3.6.7-r0          apk                          
mediainfo               25.09-r0          apk                          
memchr                  2.7.5             rust-crate                   
minimal-lexical         0.2.1             rust-crate                   
more-itertools          10.8.0            python                       
mpdecimal               4.0.1-r0          apk                          
mpg123-libs             1.33.3-r0         apk                          
msgpack                 1.2.1             python                       
musl                    1.2.5-r23         apk                          
musl-utils              1.2.5-r23         apk                          
ncurses-terminfo-base   6.5_p20251123-r0  apk                          
netcat-openbsd          1.234.1-r0        apk                          
new_debug_unreachable   1.0.6             rust-crate                   
nghttp2-libs            1.69.0-r0         apk                          
nom                     7.1.3             rust-crate                   
nom                     8.0.0             rust-crate                   
noop_proc_macro         0.3.0             rust-crate                   
num-bigint              0.4.6             rust-crate                   
num-derive              0.4.2             rust-crate                   
num-integer             0.1.46            rust-crate                   
num-rational            0.4.2             rust-crate                   
num-traits              0.2.19            rust-crate                   
numactl                 2.0.18-r0         apk                          
oauthlib                3.3.1             python                       
once_cell               1.21.3            rust-crate                   
oniguruma               6.9.10-r0         apk                          
opus                    1.5.2-r1          apk                          
orc                     0.4.41-r0         apk                          
packaging               25.0              python                       
packaging               26.0              python                       
paste                   1.0.15            rust-crate                   
pastey                  0.1.0             rust-crate                   
pcre2                   10.47-r0          apk                          
